riskCategory,neighborhood,address,city,state,year,stories,retrofitLevel,occupancyType,occupantLoad,confirmationSource,FID,x,y
M,Ballard,5000 20th Ave NW,Seattle,Washington,1900,2,No visible,C/R,2,Field,26,-122.382159314757,47.6656970834424
M,Ballard,5006 20th Ave NW,Seattle,Washington,1900,2,No visible,C/R,2,PR,27,-122.382158149642,47.6656982486244
M,Ballard,5100 Ballard Ave NW,Seattle,Washington,1905,2,No visible,C/R,3,Field,28,-122.381019436205,47.6645828459413
M,Ballard,5101 Ballard Ave NW,Seattle,Washington,1905,2,No visible,C/O,2,GSV,29,-122.381029925832,47.664515245746
M,Ballard,5109 Ballard Ave NW,Seattle,Washington,1900,2,No visible,C,2,Field,30,-122.381249043795,47.6646959011404
M,Ballard,5129 Ballard Ave NW,Seattle,Washington,1900,2,No visible,C/R,2,GSV,31,-122.381649982567,47.6650350676886
M,Ballard,5130 Ballard Ave NW,Seattle,Washington,1900,1,Visible,C,3,Field,32,-122.381838796762,47.6652833235971
M,Ballard,5135 Ballard Ave NW,Seattle,Washington,1900,2,Visible,C/O,2,Field,33,-122.381869100529,47.6652250476654
M,Ballard,5140 Ballard Ave NW,Seattle,Washington,1902,2,Visible,P,2,GSV-R,34,-122.381999638317,47.6654126959691
M,Capitol Hill,1515 Bellevue Ave,Seattle,Washington,1925,3,No visible,R,2,GSV,35,-122.326840220534,47.6145097591058
M,Ballard,5144 Ballard Ave NW,Seattle,Washington,1911,2,No visible,C/R,2,Field,36,-122.382069569467,47.6654733032754
M,Capitol Hill,1515 Broadway,Seattle,Washington,1912,1,No visible,C,2,Field,37,-122.320850611749,47.6145692004283
H,Capitol Hill,1515 Melrose Ave,Seattle,Washington,1919,1,Sub Alt,P,3,Field,38,-122.327949796217,47.6146006699421
M,Ballard,5200 Ballard Ave NW,Seattle,Washington,1900,2,Visible,P,2,Field,39,-122.382489157264,47.6658229592513
H,Capitol Hill,1518 11th Ave,Seattle,Washington,1915,2,No visible,P,3,GSV,40,-122.318098817811,47.6147195529186
C,Ballard,5201 Ballard Ave NW,Seattle,Washington,1915,2,No visible,S,3,Field,41,-122.382229245907,47.6655257517908
M,Capitol Hill,1520 13th Ave,Seattle,Washington,1920,2,No visible,C,2,GSV,42,-122.315498541813,47.6147999737983
M,Ballard,5205 Ballard Ave NW,Seattle,Washington,1915,1,Visible,C,2,Ph,43,-122.382359784592,47.6656353106075
H,Ballard,5215 Ballard Ave NW,Seattle,Washington,1902,2,No visible,P,3,Field,44,-122.382589392182,47.6658252902146
M,Capitol Hill,1520 Bellevue Ave,Seattle,Washington,1918,2,No visible,C/O,2,GSV,45,-122.326748145014,47.6148092976782
M,Capitol Hill,1520 Melrose Ave,Seattle,Washington,1916,4,Visible,R,2,GSV,46,-122.327858885812,47.6146787595749
M,Ballard,5218 20th Ave NW,Seattle,Washington,1902,3,Visible,Mixed,2,GSV,47,-122.382118521361,47.6673987429963
M,Ballard,5221 Ballard Ave NW,Seattle,Washington,1902,2,Permit,C,3,PR,48,-122.38273974411,47.6659558288396
M,Capitol Hill,1521 15th Ave,Seattle,Washington,1910,4,No visible,R,2,Field,49,-122.312809686538,47.6147988080861
