key,lat,lng
Cascade|Cascade High,47.6018393,-120.6541257
Cascade|Icicle River Middle,47.6020549,-120.656466
Cascade|Osborn Elementary,47.5980875,-120.6635717
Cascade|Peshastin-Dryden Elementary,47.5681253,-120.6026131
Cashmere|Cashmere High,47.5127932,-120.4787988
Cashmere|Cashmere Middle,47.515811,-120.4774558
Cashmere|Vale Elementary,47.5177236,-120.4712289
Castle Rock|Castle Rock Elementary,46.2714512,-122.904367
Castle Rock|Castle Rock High,46.2825798,-122.915894
Castle Rock|Castle Rock Middle,46.271772,-122.90773
Centerville|Centerville Elementary,45.752483,-120.89987
Central Kitsap|Alternative High,47.6538131,-122.7026927
Central Kitsap|Brownsville Elementary,47.641928,-122.60708
Central Kitsap|Central Kitsap High,47.651519,-122.699
Central Kitsap|Central Kitsap Junior High,47.655188,-122.70246
Central Kitsap|Clear Creek Elementary,47.683818,-122.70185
Central Kitsap|Cottonwood Elementary,47.642702,-122.64602
Central Kitsap|Cougar Valley Elementary,47.683082,-122.72555
Central Kitsap|Emerald Heights Elementary,47.674956,-122.66483
Central Kitsap|Esquire Hills Elementary,47.633066,-122.61474
Central Kitsap|Fairview Junior High,47.636874,-122.65113
Central Kitsap|Green Mountain Elementary,47.598533,-122.81993
Central Kitsap|Jenne Wright Administration Building,47.64689632,-122.697897
"Central Kitsap|John D. ""Bud"" Hawk Elementary at Jackson Park",47.592199,-122.69648
Central Kitsap|Klahowya Secondary,47.628934,-122.75384
Central Kitsap|Maintenance and Facilities,47.60909618,-122.6537971
Central Kitsap|Olympic High,47.626487,-122.66519
Central Kitsap|Pinecrest Elementary,47.613079,-122.63632
Central Kitsap|Ridgetop Junior High,47.658589,-122.66801
Central Kitsap|Seabeck Elementary,47.636319,-122.832915
Central Kitsap|Silver Ridge Elementary,47.658342,-122.66653
Central Kitsap|Silverdale Elementary,47.64363,-122.71744
Central Kitsap|Tracyton Elementary,47.629175,-122.650067
Central Kitsap|Transportation Center,47.6447185,-122.7191992
Central Kitsap|Warehouse/Food Services Facility,47.6447185,-122.7191992
Central Kitsap|Woodlands Elementary,47.629824,-122.64765
Central Valley|Adams Elementary,47.6500022,-117.2064654
Central Valley|Barker High,47.6647337,-117.2255266
Central Valley|Bowdish Middle,47.6376122,-117.2524784
Central Valley|Broadway Elementary,47.6639883,-117.2572859
Central Valley|Central Valley Early Learning Center,47.6484373,-117.2677211
Central Valley|Central Valley High,47.6489931,-117.193871
Central Valley|Central Valley Kindergarten Center,47.6708682,-117.1532877
Central Valley|Chester Elementary,47.623947,-117.2388702
Central Valley|Evergreen Middle,47.6426867,-117.2131812
Central Valley|Greenacres Elementary,47.6536755,-117.1634283
